,,,,,,,
Social Activities with Titles and Subtitles for 1v1 Matchup App,,,,,,,
Activity,Subtitle,Social Intensity,Structure,Novelty,Formality,Energy Level,Scale & Immersion
Rare Spirits Guided Tasting,Sample premium whiskeys with expert commentary,6,8,5,7,3,3
Rooftop Dawn Yoga & Breakfast,Morning stretches with skyline views and healthy meal,3,8,6,3,5,4
Neon Glow Competitive Dodgeball,Team sport under blacklights with glowing equipment,8,8,8,2,9,6
1920s-Themed Whodunit Dinner,Solve a staged murder while dining in period costumes,9,9,8,8,6,7
Acoustic Beachside Bonfire,Casual guitar singalong around flames on the sand,6,3,3,1,5,5
Immersive Film Set Adventure,Explore interactive movie environments with performers,5,8,9,6,5,9
Victorian Era Tea Service,Elegant finger sandwiches and proper etiquette lessons,6,9,2,9,2,3
Hidden Gems Photo Expedition,Guided tour to photograph secret city locations,4,5,7,3,6,5
Chandeliers Fundraiser Ball,Black-tie gala with champagne and silent auction,8,9,2,10,4,8
Luminescent Battlefield Game,Capture-the-flag in the dark with glow-in-the-dark gear,8,7,8,1,9,5
Weightless Isolation Therapy,Float in soundproof saltwater tank for sensory deprivation,1,5,8,3,1,9
Strategy Games Championship,Competitive board games with prizes and brackets,8,8,5,3,4,5
Hands-On Culinary Masterclass,"Cook alongside renowned chef, then enjoy your creation",6,8,7,6,6,6
Underground All-Night Dance,Warehouse rave with DJs playing until sunrise,6,3,8,2,10,9
Mindfulness Nature Trail,Guided meditation walk through botanical gardens,2,6,5,4,2,5
Diplomatic Food Exchange,Multicultural dinner with dishes from different embassies,7,8,8,9,3,7
Live-Action Survival Horror,Escape zombies in realistic apocalypse simulation,9,8,9,3,10,9
Skyview Cocktail Competition,Invent signature drinks on rooftop with city panorama,8,7,7,7,5,5
Cozy Venue Silent Reading,Gather to enjoy books individually in comfortable space,2,3,5,4,1,3
Team VR Gaming Tournament,Compete in virtual reality games with friends,5,8,9,3,8,9
Waterborne Sunrise Meditation,Practice mindfulness while floating on paddleboards,3,5,8,3,5,7
Multi-Venue Traveling Dinner,Enjoy each course at different neighborhood restaurants,8,8,7,6,6,7
Traditional Craft Workshop,Learn ancestral techniques from cultural artisans,5,8,8,4,5,7
24-Hour Dance Challenge,Raise money through non-stop sponsored dancing,8,6,5,2,10,10
Hidden-Entrance Jazz Club,Find the unmarked door to vintage music and cocktails,6,3,7,7,4,6
Muddy Endurance Race,Overcome extreme obstacles requiring teamwork,7,8,7,1,10,8
Historical Immersion Weekend,Live like it's another century with period activities,8,9,8,8,7,10
Art Preview with Champagne,First look at new gallery exhibits with upscale drinks,6,4,5,8,3,5
Harbor Wine Flight Cruise,Taste wines while sailing at sunset,7,6,8,7,3,7
Desert Stargazing Expedition,Camp under dark skies with professional telescopes,5,6,8,2,3,9
# 30 More Social Activities for 23-Year-Olds (<$200/person),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Rooftop Silent Disco,Dance to your own music channel with wireless headphones,7,4,8,3,9,7
Pop-Up Outdoor Movie Night,Bring blankets for cult classics under the stars,5,5,4,2,2,6
Bubble Soccer Tournament,Play soccer while encased in inflatable bubbles,8,7,9,1,10,6
