Activity,Subtitle,Social Intensity,Structure,Novelty,Formality,Energy Level,Scale & Immersion,Tags
Rare Spirits Guided Tasting,Sample premium whiskeys with expert commentary,6,8,5,7,3,3,Food & Drink,Indoor Activity,Guided Experience,Luxury Experience,Educational,Adult Only,Evening Experience,Small Group,Sophisticated,Tasting,Alcohol-Focused,Learning Opportunity
Rooftop Dawn Yoga & Breakfast,Morning stretches with skyline views and healthy meal,3,8,6,3,5,4,Wellness,Morning Activity,Outdoor Activity,Physical Activity,Food & Drink,Healthy,Group-Friendly,Instagram-Worthy,Urban Setting,Structured,Beginner-Friendly,Photogenic
Neon Glow Competitive Dodgeball,Team sport under blacklights with glowing equipment,8,8,8,2,9,6,High Energy,Indoor Activity,Team Building,Physical Activity,Competition,Evening Experience,Group-Friendly,Quirky/Unique,Active,Rowdy/Party,Game-Based,Nightlife
1920s-Themed Whodunit Dinner,Solve a staged murder while dining in period costumes,9,9,8,8,6,7,Evening Experience,Immersive,Food & Drink,Entertainment-Focused,Dress-Up,Guided Experience,Group-Friendly,Quirky/Unique,Participatory,Interactive,High Formality,Role-Playing,Luxury Experience
Acoustic Beachside Bonfire,Casual guitar singalong around flames on the sand,6,3,3,1,5,5,Outdoor Activity,Evening Experience,Music-Centered,Waterfront,Chill Vibe,Casual,Budget-Friendly,Group-Friendly,Nature-Focused,Weather Dependent,Spontaneous
Immersive Film Set Adventure,Explore interactive movie environments with performers,5,8,9,6,5,9,Entertainment-Focused,Immersive,Guided Experience,Quirky/Unique,Participatory,Arts & Culture,Trendy/Popular,Educational,Interactive,Luxury Experience,Full Day Event
Victorian Era Tea Service,Elegant finger sandwiches and proper etiquette lessons,6,9,2,9,2,3,Food & Drink,Indoor Activity,Educational,Historic,High Formality,Sophisticated,Guided Experience,Arts & Culture,Learning Opportunity,Traditional,Unique Experience
Hidden Gems Photo Expedition,Guided tour to photograph secret city locations,4,5,7,3,6,5,Outdoor Activity,Guided Experience,Arts & Culture,Urban Setting,Educational,Walking Tour,Creative Expression,Instagram-Worthy,Local Favorite,Hidden Gem,Photogenic
Chandeliers Fundraiser Ball,Black-tie gala with champagne and silent auction,8,9,2,10,4,8,Evening Experience,High Formality,Indoor Activity,Sophisticated,Food & Drink,Dress-Up,Charity,Networking,Special Occasion,Luxury Experience,Adult Only
Luminescent Battlefield Game,Capture-the-flag in the dark with glow-in-the-dark gear,8,7,8,1,9,5,High Energy,Outdoor Activity,Evening Experience,Game-Based,Competition,Team Building,Physical Activity,Quirky/Unique,Group-Friendly,Active,Rowdy/Party
Weightless Isolation Therapy,Float in soundproof saltwater tank for sensory deprivation,1,5,8,3,1,9,Wellness,Indoor Activity,Solo-Friendly,Relaxation,Quiet,Unique Experience,Self-Care,Health-Focused,Meditative,Sensory Experience
Strategy Games Championship,Competitive board games with prizes and brackets,8,8,5,3,4,5,Indoor Activity,Game-Based,Competition,Intellectual,Group-Friendly,Evening Experience,Casual,Social,Strategic,Tournament
Hands-On Culinary Masterclass,Cook alongside renowned chef then enjoy your creation,6,8,7,6,6,6,Food & Drink,Indoor Activity,Educational,Hands-On,Creative Expression,Guided Experience,Learning Opportunity,Skill Building,Gourmet,Participatory
Underground All-Night Dance,Warehouse rave with DJs playing until sunrise,6,3,8,2,10,9,High Energy,Evening Experience,Late Night,Music-Centered,Nightlife,Dance,Urban Setting,Rowdy/Party,Adult Only,Large Group,Immersive
